Codice;Ubicazione;Area di Competenza;DescrizioneVia;Civico;CodiceVia;insegna;settore_merceologico;settore_storico_cf_n;settore_storico_cf_preval;settore_storico_cf_s;superficie_totale;superficie_vendita;MUNICIPIO;LONGIT;LATIT;Location
C-EV/17620;Via VENINI GIULIO E CORRADO N. 46| isolato:346| accesso: accesso esterno| (z.d. 2);VENDITA - In sede fissa;Via VENINI GIULIO E CORRADO;46;2258;;non alimentare;;mobili;xii sub 2|xii sub 1|x|xii sub 3;273;251;2;9.21573025945;45.4908592205;45.4908592205, 9.21573025945
C-EV/49066;Via SANDRI SANDRO N. 2| isolato:179| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Via SANDRI SANDRO;2;1046;;non alimentare;|(con esclusione di giornali e riviste);vetrerie e ceramiche;xii-radio e tv|xiv prod. culturali arte e col|xii sub 2|x|xii sub 1|xiv prodotti per la casa|xii-elettrodomestici|xiv prodotti per la persona;251;251;1;9.19266934526;45.475106513;45.475106513, 9.19266934526
C-EV/43378;Via VILLAPIZZONE num.012| isolato:171| accesso: accesso esterno| (z.d. 8);VENDITA - In sede fissa;Via VILLAPIZZONE;;7272;verzeri;non alimentare;|cartoleria cancelleria giocattoli macchine e mobili per ufficio ;cartoleria cancelleria;xiii (libri)|xiv;252;252;;;;
C-EV/31778;Via SARPI FRA' PAOLO N. 44| isolato:073| accesso: accesso esterno| (z.d. 8);VENDITA - In sede fissa;Via SARPI FRA' PAOLO;44;7210;;alimentare|non alimentare;;surgelati;surgelati|iii (cont.antec. d.m. 27/6/86)|xii sub 2|xii sub 3;252;252;8;9.17414836917;45.4813065886;45.4813065886, 9.17414836917
C-EV/46073;Via MUSSI GIUSEPPE N. 5| isolato:056| accesso: accesso interno| (z.d. 8);VENDITA - In sede fissa;Via MUSSI GIUSEPPE;5;7199;riparaz. contachilometri;non alimentare;;accessori e ricambi auto-moto;xiv-contach.access.iner.volan.;252;252;8;9.16603062658;45.4819567894;45.4819567894, 9.16603062658
C-EV/48178;Via QUINTILIANO MARCO FABIO N. 33| isolato:073| accesso: area ap.rec.| (z.d. 4);VENDITA - In sede fissa;Via QUINTILIANO MARCO FABIO;33;3358;spaccio aziendale;non alimentare;(con esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma)  ;abbigliamento;settore non alimentare;252;252;4;9.24759953178;45.4491741674;45.4491741674, 9.24759953178
C-EV/21029;Corso MATTEOTTI GIACOMO N. 3|cso matteotti giacomo 003| isolato:362| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Corso MATTEOTTI GIACOMO;3;218;lalique;non alimentare;(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma)  ;vetrerie e ceramiche;settore non alimentare;262;252;1;9.19475505901;45.4670304259;45.4670304259, 9.19475505901
C-EV/35079-1;Via GALLARATE N. 219| isolato:179| accesso: accesso interno| (z.d. 8);VENDITA - In sede fissa;Via GALLARATE;219;7420;;non alimentare;;telefoni;xiv;253;253;8;9.12297664505;45.5004521151;45.5004521151, 9.12297664505
C-EV/15333;Via SISTO (SAN) N. 3|via san sisto 003| isolato:335| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Via SISTO (SAN);3;513;il bagno ideale;non alimentare;con l'esclusione dei prodotti per i quali è previsto per legge uno specifico diploma)  attivit prevalente: vendita accessori per bagno ;art.per l'arredam.del bagno;settore non alimentare;254;254;1;9.18142971178;45.4608820157;45.4608820157, 9.18142971178
C-EV/40344;Via LORENZETTI (F.LLI) N. 4| isolato:010| accesso: accesso interno| (z.d. 7);VENDITA - In sede fissa;Via LORENZETTI (F.LLI);4;6604;spaccio zucchi;non alimentare;;articoli tessili per arredamen;settore non alimentare;254;254;7;9.14171183237;45.4651596368;45.4651596368, 9.14171183237
